eventId	personId	total	personName	"GROUP_CONCAT(CONCAT(score,' (',competitionId,')') SEPARATOR ' + ')"
555	2008AURO01	13	"Sébastien Auroux"	"13 (FrenchOpen2011)"
555	2009ROCH01	13	"Julien Rochette"	"13 (NeptuneOpen2011)"
555	2011DUBO01	13	"Rémi Duboué-Dijon"	"8 (CachanOpen2011) + 5 (LyonOpen2011)"
555	2007TAKA01	12	"Kiyoshi Takahashi"	"12 (LyonOpen2011)"
555	2008ZOFF01	12	"Tommaso Zoffoli"	"12 (MontpellierOpen2011)"
555	2009SHEP01	12	"Daniel Sheppard"	"12 (FrenchOpen2011)"
555	2011GARD01	12	"Sajan Gardeux"	"7 (GaleriesLafayetteOpen2011) + 5 (CachanOpen2011)"
555	2010GRAB01	11	"Daniel Grabski"	"11 (VesoulOpen2011)"
555	2009LEFE01	10	"Quentin Lefebvre"	"10 (CachanOpen2011)"
555	2009FACI01	9	"Radu Faciu"	"9 (LyonOpen2011)"
555	2011LONG02	9	"Kevin Longou"	"9 (GaleriesLafayetteOpen2011)"
555	2009DOUS03	8	"Valentin Doussin"	"2 (DolmenOpen2011) + 2 (DinsOpen2011) + 2 (BlindOpen2011) + 2 (BreizhOpen2011)"
555	2005SIMO01	7	"Antoine Simon-Chautemps"	"4 (NeptuneOpen2011) + 3 (LyonOpen2011)"
555	2009GARC04	7	"Pau Vela García"	"7 (MontpellierOpen2011)"
555	2010DUVE01	6	"Thomas Duvernay"	"6 (GaleriesLafayetteOpen2011)"
555	2006MATH01	5	"Jean-Louis Mathieu"	"2 (VesoulOpen2011) + 3 (FrenchOpen2011)"
555	2009BRUS01	5	"Berit Brüster"	"5 (FrenchOpen2011)"
555	2010FOUL01	5	"Lucas Foulon-Mongaï"	"2 (FrenchOpen2011) + 3 (GaleriesLafayetteOpen2011)"
555	2010MOND01	5	"Pablo Nicolás Oshiro Mondoñedo"	"5 (MontpellierOpen2011)"
555	2011TRAN04	5	"Dinh-Anh Tran"	"3 (CachanOpen2011) + 2 (GaleriesLafayetteOpen2011)"
555	2008GOUB01	4	"Benoît Goubin"	"4 (CachanOpen2011)"
555	2008ROST01	4	"Salim Rostam"	"4 (BreizhOpen2011)"
555	2010GAUT01	4	"Yoann Gauthier"	"4 (GaleriesLafayetteOpen2011)"
555	2011VELA02	4	"Guillaume Velay"	"4 (MontpellierOpen2011)"
555	2010FRUY01	3	"Nicolas Fruy"	"3 (DolmenOpen2011)"
555	2010LAYE01	3	"Antoine Layec"	"1 (MontpellierOpen2011) + 2 (NeptuneOpen2011)"
555	2010PARR01	3	"David Parra Meza"	"2 (MontpellierOpen2011) + 1 (LyonOpen2011)"
555	2011PUYF02	3	"Guilhem Puyfoulhoux"	"3 (MontpellierOpen2011)"
555	2006RISC01	2	"Julien Rischard"	"1 (GaleriesLafayetteOpen2011) + 1 (DolmenOpen2011)"
555	2010CAUD01	2	"Raphaël Cauderlier"	"1 (FrenchOpen2011) + 1 (NeptuneOpen2011)"
555	2011COLI01	2	"Maxime Colignon"	"2 (NaonedOpen2011)"
555	2011PATT01	2	"Lilian Pattier"	"2 (CachanOpen2011)"
555	2011RAMY01	2	"Xavier Rémy"	"1 (DinsOpen2011) + 1 (BreizhOpen2011)"
555	2011TROM01	2	"Axel Trombert"	"2 (LyonOpen2011)"
555	2011LEBA01	1	"Fabien Lebailly"	"1 (NaonedOpen2011)"
555	2011MATH01	1	"Nicolas Mathieu"	"1 (VesoulOpen2011)"
555	2011VALU01	1	"Clelia Valuy"	"1 (CachanOpen2011)"
555bf	2008COUR01	4	"François Courtès"	"1 (LyonOpen2011) + 1 (BreizhOpen2011) + 1 (FrenchOpen2011) + 1 (MontpellierOpen2011)"
555bf	2005KOCZ01	2	"István Kocza"	"2 (LyonOpen2011)"
555bf	2008CIRN01	2	"Fabrizio Cirnigliaro"	"2 (MontpellierOpen2011)"
555bf	2008BARA01	1	"Bence Barát"	"1 (LyonOpen2011)"
555bf	2009SHEP01	1	"Daniel Sheppard"	"1 (FrenchOpen2011)"
666	2008COUR01	11	"François Courtès"	"6 (LyonOpen2011) + 5 (MontpellierOpen2011)"
666	2008BARA01	10	"Bence Barát"	"10 (LyonOpen2011)"
666	2007POLI01	9	"Lorenzo Vigani Poli"	"9 (MontpellierOpen2011)"
666	2008CABA03	9	"Jakub Cabaj"	"9 (LyonOpen2011)"
666	2004GALL02	8	"Clément Gallet"	"5 (FrenchOpen2011) + 3 (MontpellierOpen2011)"
666	2009MORI05	8	"Paolo Moriello"	"8 (MontpellierOpen2011)"
666	2009YAUR01	8	"Robert Yau"	"8 (FrenchOpen2011)"
666	2010ESTU01	8	"Rémi Esturoune"	"7 (LyonOpen2011) + 1 (FrenchOpen2011)"
